Date,Stocks,Bonds,Cash,Stocks_Return,Bonds_Return,Cash_Return
12/01/2001,993.09,372.632,4.826,0.00092726,-0.007817492,0.000906789
19/01/2001,989.33,372.901,4.784,-0.003786162,0.000721892,0.000899075
26/01/2001,997.75,372.946,4.821,0.00851081,0.000120675,0.000905871
02/02/2001,977.98,375.296,4.779,-0.019814583,0.00630118,0.000898157
09/02/2001,960.91,375.905,4.775,-0.017454345,0.001622719,0.000897422
16/02/2001,947.53,374.884,4.822,-0.013924301,-0.002716112,0.000906054
23/02/2001,888.6,374.875,4.83,-0.062193281,-2.40E-05,0.000907523
02/03/2001,901.93,377.572,4.821,0.015001125,0.007194398,0.000905871
09/03/2001,909.03,378.283,4.851,0.007872008,0.001883085,0.000911379
16/03/2001,861.33,380.195,4.811,-0.052473516,0.005054417,0.000904034
23/03/2001,840.07,381.489,4.8,-0.024682758,0.003403517,0.000902014
30/03/2001,878.58,380.039,4.805,0.045841418,-0.003800896,0.000902932
06/04/2001,870.36,380.269,4.763,-0.009356006,0.000605201,0.000895217
13/04/2001,911.37,377.295,5.171,0.047118434,-0.00782078,0.000970036
20/04/2001,921.8,375.452,4.861,0.011444309,-0.004884772,0.000913214
27/04/2001,941.31,375.21,4.828,0.021165112,-0.000644556,0.000907156
04/05/2001,930.53,376.118,4.833,-0.011452125,0.002419978,0.000908074
11/05/2001,945.14,375.424,4.605,0.01570073,-0.001845166,0.000866167
18/05/2001,961.47,374.651,4.577,0.017277864,-0.002059005,0.000861014
25/05/2001,952.64,372.163,4.596,-0.009183854,-0.006640847,0.00086451
01/06/2001,936.8,375.744,4.566,-0.016627477,0.009622128,0.000858989
08/06/2001,945.07,375.843,4.555,0.008827925,0.000263477,0.000856964
15/06/2001,900.21,377.667,4.543,-0.047467383,0.00485309,0.000854755
22/06/2001,892.05,380.017,4.601,-0.009064552,0.006222413,0.000865431
29/06/2001,902.47,376.282,4.554,0.01168096,-0.009828508,0.00085678
06/07/2001,867.04,377.269,4.546,-0.039258923,0.002623033,0.000855307
13/07/2001,860.11,377.753,4.538,-0.007992711,0.001282904,0.000853835
20/07/2001,840.01,381.048,4.529,-0.023369104,0.008722631,0.000852177
27/07/2001,848.3,382.944,4.552,0.00986893,0.004975751,0.000856412
03/08/2001,857.32,383.157,4.534,0.010633031,0.000556217,0.000853098
10/08/2001,815.52,386.352,4.53,-0.04875659,0.008338618,0.000852362
17/08/2001,801.23,388.106,4.533,-0.017522562,0.004539901,0.000852914
24/08/2001,829.12,385.195,4.548,0.034808981,-0.007500528,0.000855676
31/08/2001,798.21,388.207,4.316,-0.03728049,0.007819416,0.000812918
07/09/2001,737,388.079,4.305,-0.076684081,-0.000329721,0.000810888
14/09/2001,659.11,389.546,4.292,-0.10568521,0.003780158,0.00080849
21/09/2001,613.58,388.032,3.799,-0.069077999,-0.003886576,0.000717298
28/09/2001,702.93,390.639,3.788,0.145620783,0.006718518,0.000715259
05/10/2001,713.88,394.76,3.747,0.015577654,0.010549382,0.000707655
12/10/2001,746.13,393.957,3.86,0.04517566,-0.002034147,0.000728605
19/10/2001,726.56,396.143,3.938,-0.026228673,0.005548829,0.000743052
26/10/2001,770.27,399.602,3.801,0.060160207,0.008731695,0.000717669
02/11/2001,747.27,404.002,3.765,-0.02985966,0.011010956,0.000710994
09/11/2001,782.08,404.869,3.563,0.046582895,0.002146029,0.000673495
16/11/2001,798.65,398.618,3.331,0.021187091,-0.015439562,0.000630338
23/11/2001,804.79,397.81,3.375,0.007687973,-0.002027003,0.00063853
30/11/2001,780.48,399.274,3.36,-0.030206638,0.003680149,0.000635738
07/12/2001,809.22,392.352,3.287,0.036823493,-0.017336466,0.000622142
14/12/2001,761.41,395.834,3.313,-0.059081585,0.008874684,0.000626985
21/12/2001,788.66,393.873,3.693,0.035788865,-0.004954097,0.000697636
28/12/2001,812.06,390.755,3.343,0.02967058,-0.007916257,0.000632572
04/01/2002,815.23,392.164,3.361,0.003903652,0.00360584,0.000635924
11/01/2002,789.03,395.463,3.352,-0.03213817,0.008412297,0.000634248
18/01/2002,777.16,395.813,3.342,-0.015043788,0.000885039,0.000632386
25/01/2002,790.4,392.472,3.346,0.017036389,-0.008440855,0.000633131
01/02/2002,786.59,395.146,3.347,-0.004820344,0.006813225,0.000633317
08/02/2002,749.16,394.41,3.324,-0.047585146,-0.001862603,0.000629034
15/02/2002,759.35,394.624,3.314,0.013601901,0.000542583,0.000627172
22/02/2002,732.66,395.364,3.322,-0.035148482,0.001875203,0.000628662
01/03/2002,778.61,393.641,3.333,0.062716676,-0.004358009,0.00063071
08/03/2002,809.49,389.539,3.304,0.03966042,-0.010420662,0.000625309
15/03/2002,802.2,388.973,3.274,-0.00900567,-0.001453,0.00061972
22/03/2002,800.34,388.646,3.403,-0.002318624,-0.000840675,0.000643742
29/03/2002,808.82,389.138,3.341,0.010595497,0.001265934,0.0006322
05/04/2002,786.3,392.447,3.327,-0.027843031,0.00850341,0.000629593
12/04/2002,772.75,392.478,3.299,-0.017232608,7.90E-05,0.000624378
19/04/2002,794.05,391.625,3.316,0.027563895,-0.00217337,0.000627544
26/04/2002,763.39,394.965,3.337,-0.038612178,0.008528567,0.000631455
03/05/2002,750.69,394.447,3.324,-0.01663632,-0.001311509,0.000629034
10/05/2002,744.85,392.717,3.322,-0.00777951,-0.004385887,0.000628662
17/05/2002,767.29,391.825,3.308,0.030126871,-0.002271356,0.000626054
24/05/2002,751.97,395.038,3.368,-0.019966375,0.008200089,0.000637227
31/05/2002,742.2,395.077,3.365,-0.01299254,9.87E-05,0.000636669
07/06/2002,696.38,396.627,3.349,-0.061735381,0.003923286,0.00063369
14/06/2002,662.65,401.223,3.327,-0.048436199,0.011587713,0.000629593
21/06/2002,658.7,401.01,3.394,-0.005960915,-0.000530877,0.000642067
28/06/2002,681.23,402.578,3.368,0.034203735,0.003910127,0.000637227
05/07/2002,688.86,401.158,3.347,0.011200329,-0.003527267,0.000633317
12/07/2002,628.23,405.253,3.33,-0.088014981,0.010207948,0.000630152
19/07/2002,586.75,407.023,3.301,-0.066026774,0.004367642,0.00062475
26/07/2002,552.24,410.07,3.341,-0.058815509,0.007486063,0.0006322
02/08/2002,555.31,413.009,3.325,0.005559177,0.007167069,0.00062922
09/08/2002,599.86,415.69,3.314,0.08022546,0.006491384,0.000627172
16/08/2002,592.11,414.677,3.312,-0.012919681,-0.002436912,0.000626799
23/08/2002,615.48,413.734,3.335,0.039469018,-0.002274059,0.000631083
30/08/2002,591.54,416.497,3.322,-0.038896471,0.006678204,0.000628662
06/09/2002,571.65,422.231,3.305,-0.0336241,0.013767206,0.000625495
13/09/2002,552.57,422.026,3.307,-0.033377066,-0.000485516,0.000625868
20/09/2002,503.93,424.792,3.321,-0.088025047,0.006554099,0.000628476
27/09/2002,511.61,425.138,3.325,0.015240212,0.000814516,0.00062922
04/10/2002,485.74,425.48,3.306,-0.050565861,0.000804445,0.000625682
11/10/2002,513.63,424.152,3.309,0.057417548,-0.003121181,0.00062624
18/10/2002,551.97,419.337,3.313,0.074645173,-0.011352062,0.000626985
25/10/2002,536.58,420.657,3.328,-0.02788195,0.003147826,0.000629779
01/11/2002,543.44,423.01,3.307,0.012784673,0.005593631,0.000625868
08/11/2002,535.47,425.194,3.304,-0.014665832,0.005162999,0.000625309
15/11/2002,554.11,426.482,3.307,0.03481054,0.003029205,0.000625868
22/11/2002,578.67,425.615,3.331,0.044323329,-0.002032911,0.000630338
29/11/2002,580.58,426.705,3.406,0.003300672,0.002561,0.0006443
06/12/2002,553.24,429.289,2.867,-0.04709084,0.006055706,0.000543738
13/12/2002,530.9,432.814,2.899,-0.040380305,0.008211252,0.000549723
20/12/2002,533.44,433.779,3.041,0.004784328,0.002229595,0.000576258
27/12/2002,517.26,437.132,3.19,-0.030331434,0.007729743,0.000604062
03/01/2003,547.4,433.716,2.902,0.058268569,-0.007814573,0.000550284
10/01/2003,544.64,436.701,2.848,-0.005042017,0.006882384,0.000540184
17/01/2003,523.06,439.909,2.844,-0.039622503,0.007345987,0.000539436
24/01/2003,489.4,444.386,2.843,-0.064352082,0.010177105,0.000539249
31/01/2003,492.38,443.6,2.833,0.006089089,-0.001768733,0.000537378
07/02/2003,467.44,445.871,2.806,-0.050651935,0.005119477,0.000532325
14/02/2003,481.98,446.916,2.799,0.031105596,0.002343727,0.000531015
21/02/2003,483.8,448.977,2.821,0.00377609,0.004611605,0.000535132
28/02/2003,469.01,450.217,2.827,-0.030570484,0.002761834,0.000536255
07/03/2003,436.52,453.729,2.742,-0.069273576,0.007800683,0.000520343
14/03/2003,455.64,447.88,2.631,0.043800971,-0.012890955,0.000499545
21/03/2003,492.75,440.356,2.595,0.081445878,-0.016799143,0.000492795
28/03/2003,467.93,445.095,2.585,-0.05037037,0.010761747,0.000490919
04/04/2003,487.91,444.122,2.565,0.042698694,-0.00218605,0.000487168
11/04/2003,493.9,444.323,2.565,0.012276854,0.000452578,0.000487168
18/04/2003,511.34,446.254,2.582,0.035310792,0.004345938,0.000490357
25/04/2003,501.49,448.406,2.59,-0.019263113,0.004822366,0.000491857
02/05/2003,514.19,449.538,2.575,0.025324533,0.002524498,0.000489044
09/05/2003,513.44,454.404,2.566,-0.001458605,0.010824446,0.000487355
16/05/2003,522.64,458.546,2.573,0.017918355,0.009115237,0.000488668
23/05/2003,500.56,463.843,2.617,-0.042247053,0.011551731,0.00049692
30/05/2003,519.78,461.684,2.756,0.038396995,-0.004654592,0.000522965
06/06/2003,540.58,463.633,2.157,0.04001693,0.004221502,0.000410482
13/06/2003,545.57,471.58,2.154,0.009230826,0.017140713,0.000409917
20/06/2003,562.34,464.377,2.182,0.030738494,-0.015274185,0.000415189
27/06/2003,548.51,460.301,2.154,-0.024593662,-0.008777351,0.000409917
04/07/2003,538.89,459.6,2.14,-0.017538422,-0.001522917,0.00040728
11/07/2003,554.2,460.074,2.119,0.028410251,0.001031332,0.000403324
18/07/2003,550.25,456.242,2.115,-0.007127391,-0.008329095,0.00040257
25/07/2003,547.39,457.905,2.107,-0.005197637,0.003644995,0.000401063
01/08/2003,555.97,451.48,2.102,0.015674382,-0.014031295,0.000400121
08/08/2003,551.89,457.224,2.089,-0.007338525,0.012722601,0.000397671
15/08/2003,571.92,452.866,2.091,0.036293464,-0.009531433,0.000398048
22/08/2003,582.34,452.251,2.124,0.018219331,-0.001358018,0.000404266
29/08/2003,574.07,452.344,2.122,-0.014201326,0.000205638,0.000403889
05/09/2003,587.11,449.793,2.112,0.022715,-0.005639513,0.000402005
12/09/2003,571.84,454.879,2.104,-0.026008755,0.011307424,0.000400498
19/09/2003,579.85,455.569,2.084,0.014007415,0.001516887,0.000396729
26/09/2003,549.64,459.882,2.113,-0.052099681,0.009467282,0.000402193
03/10/2003,565.03,454.417,2.085,0.028000146,-0.011883483,0.000396917
10/10/2003,565.6,455.232,2.086,0.001008796,0.001793507,0.000397106
17/10/2003,573.18,451.772,2.069,0.013401697,-0.00760052,0.000393902
24/10/2003,557.84,453.31,2.09,-0.026762971,0.003404372,0.00039786
31/10/2003,578.77,452.773,2.081,0.037519719,-0.00118462,0.000396164
