Date,Germany,Spain,France,Italy,UK,US,Japan
01/01/1947,,,,,,2033.061,
01/04/1947,,,,,,2027.639,
01/07/1947,,,,,,2023.452,
01/10/1947,,,,,,2055.103,
01/01/1948,,,,,,2086.017,
01/04/1948,,,,,,2120.45,
01/07/1948,,,,,,2132.598,
01/10/1948,,,,,,2134.981,
01/01/1949,,,,,,2105.562,
01/04/1949,,,,,,2098.38,
01/07/1949,,,,,,2120.044,
01/10/1949,,,,,,2102.251,
01/01/1950,,,,,,2184.872,
01/04/1950,,,,,,2251.507,
01/07/1950,,,,,,2338.514,
01/10/1950,,,,,,2383.291,
01/01/1951,,,,,,2415.66,
01/04/1951,,,,,,2457.517,
01/07/1951,,,,,,2508.166,
01/10/1951,,,,,,2513.69,
01/01/1952,,,,,,2540.55,
01/04/1952,,,,,,2546.022,
01/07/1952,,,,,,2564.401,
01/10/1952,,,,,,2648.621,
01/01/1953,,,,,,2697.855,
01/04/1953,,,,,,2718.709,
01/07/1953,,,,,,2703.411,
01/10/1953,,,,,,2662.482,
01/01/1954,,,,,,2649.755,
01/04/1954,,,,,,2652.643,
01/07/1954,,,,,,2682.601,
01/10/1954,,,,,,2735.091,
01/01/1955,,,,,,2813.212,
01/04/1955,,,,,,2858.988,
01/07/1955,,,,,,2897.598,
01/10/1955,,,,,,2914.993,
01/01/1956,,,,,,2903.671,
01/04/1956,,,,,,2927.665,
01/07/1956,,,,,,2925.035,
01/10/1956,,,,,,2973.179,
01/01/1957,,,,,,2992.219,
01/04/1957,,,,,,2985.663,
01/07/1957,,,,,,3014.919,
01/10/1957,,,,,,2983.727,
01/01/1958,,,,,,2906.274,
01/04/1958,,,,,,2925.379,
01/07/1958,,,,,,2993.068,
01/10/1958,,,,,,3063.085,
01/01/1959,,,,,,3121.936,
01/04/1959,,,,,,3192.38,
01/07/1959,,,,,,3194.653,
01/10/1959,,,,,,3203.759,
01/01/1960,,,,,,3275.757,
01/04/1960,,,,,,3258.088,
01/07/1960,,,,,,3274.029,
01/10/1960,,,,,,3232.009,
01/01/1961,,,,,,3253.826,
01/04/1961,,,,,,3309.059,
01/07/1961,,,,,,3372.581,
01/10/1961,,,,,,3438.721,
01/01/1962,,,,,,3500.054,
01/04/1962,,,,,,3531.683,
01/07/1962,,,,,,3575.07,
01/10/1962,,,,,,3586.827,
01/01/1963,,,,,,3625.981,
01/04/1963,,,,,,3666.669,
01/07/1963,,,,,,3747.278,
01/10/1963,,,,,,3771.845,
01/01/1964,,,,,,3851.366,
01/04/1964,,,,,,3893.296,
