t,u,v,x,y
0,,,10,
1,0.18289029,-0.511462304,9.18289029,8.671427986
2,0.043885393,-0.095576524,8.308486654,8.212910129
3,1.628027348,0.920033472,9.105665337,10.02569881
4,0.97467364,0.023449047,9.169772443,9.19322149
5,2.548986231,0.120199957,10.80178143,10.92198139
6,0.716161139,-0.561913112,10.43776443,9.875851314
7,-0.460154297,0.10672693,8.933833686,9.040560616
8,1.68061888,1.072316991,9.721069197,10.79338619
9,-0.902766715,-0.729372687,7.846195563,7.116822876
10,-1.38570158,0.898521648,5.675874426,6.574396075
11,-0.168595307,0.368193014,4.939691677,5.307884691
12,0.823058599,0.192933385,5.268781109,5.461714493
13,-0.596198788,-0.532854756,4.14570421,3.612849454
14,0.310812993,0.64866299,4.041946782,4.690609772
15,0.875843398,0.508587163,4.513595501,5.022182665
16,-0.958684723,0.454040219,3.103551228,3.557591447
17,1.368525773,0.783657015,4.161721878,4.945378893
18,-0.430670752,1.754124241,3.314878938,5.06900318
19,0.015032811,-0.474403805,2.998423855,2.52402005
20,1.047499154,1.229677764,3.746080623,4.975758388
21,0.498860118,0.040363375,3.870332679,3.910696054
22,1.654202606,0.380747451,5.137502017,5.518249468
23,1.057480858,1.452704055,5.681232674,7.133936728
24,-0.321347216,-0.44059675,4.791762191,4.351165441
25,-0.803466946,1.29217824,3.509119025,4.801297265
26,0.220443326,-0.069708221,3.378650449,3.308942227
27,1.015080215,0.228445742,4.055865619,4.284311362
28,-0.193947471,-0.708962489,3.456331586,2.747369097
29,0.788763828,1.058283488,3.899462255,4.957745742
30,1.705302566,1.404323484,5.214818595,6.619142079
31,-1.144862836,-2.074575605,3.5484739,1.473898295
32,1.209562015,1.279936441,4.403188525,5.683124966
33,0.662794264,1.031348802,4.625663936,5.657012738
34,-0.773816282,0.698380518,3.389281261,4.087661779
35,0.352520146,0.467053951,3.402873281,3.869927232
36,0.02230081,0.374750471,3.084886763,3.459637234
37,-0.27479814,-1.335890829,2.501599947,1.165709118
38,-0.095039923,0.284424004,2.15640003,2.440824034
39,1.093490027,-1.82909389,3.034250054,1.205156164
40,-0.932486728,-2.280394256,1.798338321,-0.482055935
41,0.120199957,0.930951956,1.738704445,2.669656401
42,0.795882897,0.460495357,2.360716898,2.821212256
43,0.544617933,1.279067874,2.669263141,3.948331015
44,0.935681328,2.693050192,3.338018155,6.031068347
45,0.714185262,0.682264272,3.718401602,4.400665873
46,-1.762737156,0.119891865,1.583824285,1.703716151
47,-2.895612852,1.56981514,-1.470170995,0.099644145
48,2.145379767,-0.088355137,0.822225872,0.733870735
49,-1.169366897,0.232452066,-0.429363612,-0.196911546
50,-1.024600351,-0.941504368,-1.411027602,-2.35253197
51,0.3447974,-0.571073997,-0.925127442,-1.496201439
52,1.443104338,0.417280717,0.61048964,1.027770357
53,0.492200343,0.661461854,1.041641019,1.703102873
54,-1.150478965,1.579860509,-0.213002049,1.366858461
55,-0.5179254,-0.683327244,-0.709627244,-1.392954488
56,-0.109957909,1.076675744,-0.748622429,0.328053315
57,0.190128731,-1.24746748,-0.483631456,-1.731098936
58,0.284583166,1.233761395,-0.150685144,1.083076251
59,1.218834313,-0.795778305,1.083217684,0.287439378
60,-0.451836968,-1.150924618,0.523058948,-0.62786567
61,0.327555654,2.030574251,0.798308707,2.828882957
62,-1.024729954,-1.869257176,-0.306252118,-2.175509294
63,-0.074693389,0.285380111,-0.350320296,-0.064940185
64,-0.63831294,-0.781371909,-0.953601206,-1.734973116
65,0.668906068,-1.103280738,-0.189335018,-1.292615755
66,-2.140059223,0.871473276,-2.310460739,-1.438987463
67,1.596326911,-1.778512342,-0.483087754,-2.261600096
68,0.331756382,0.266149982,-0.103022597,0.163127385
69,0.955178621,2.205688361,0.862458284,3.068146645
70,0.451243523,0.488232672,1.227455978,1.71568865
71,-0.569723397,-0.043733053,0.534986983,0.49125393
72,0.583181645,0.281636403,1.06466993,1.346306333
73,-0.437564722,1.205912668,0.520638214,1.726550882
74,1.273542694,1.060161594,1.742117087,2.802278681
75,-0.214176907,0.536296056,1.353728471,1.890024527
76,0.399237479,0.474403805,1.617593102,2.091996907
77,-0.10265012,0.138173846,1.353183672,1.491357518
78,-0.037837253,-1.590337888,1.180028052,-0.410309836
79,0.585087037,0.558065949,1.647112283,2.205178232
80,1.45314516,0.790539616,2.935546215,3.726085831
81,2.459419193,0.336042376,5.101410786,5.437453162
82,0.250884113,0.112113412,4.842153821,4.954267233
83,-0.949398782,-0.306640686,3.408539657,3.101898971
84,0.14110924,1.432777026,3.208794931,4.641571957
85,0.585450834,-0.389233037,3.473366272,3.084133236
86,0.675522642,-0.944130534,3.801552287,2.857421754
87,-1.423659342,-0.891668606,1.997737717,1.106069112
88,1.163175511,0.789912065,2.961139457,3.751051522
89,0.019775825,-0.431510898,2.684801337,2.253290439
90,-0.281636403,0.233867468,2.1346848,2.368552268
91,-0.077992581,-1.426401468,1.843223739,0.416822271
92,1.650009835,0.02015895,3.3089112,3.32907015
93,2.237266017,0.082213774,5.215286097,5.297499871
94,-1.128660188,0.230095338,3.5650973,3.795192638
95,-1.284811333,-0.121278845,1.923776237,1.802497392
96,0.236068445,0.198001544,1.967467058,2.165468602
97,1.161372438,-0.623284677,2.93209279,2.308808113
98,0.245439651,0.114885097,2.884323162,2.999208259
99,-1.445055204,-0.583908104,1.150835642,0.566927538
100,-1.705957402,1.031478405,-0.670205325,0.36127308
