name,euro1900,excolony,avexpr,gdp,cons1,cons90,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
AFG,0,1,,,1,2,1,1,93.7,4.540098,,
AGO,8,1,5.3636365,2369.999445,3,3,0,1,280,5.6347895,-3.4112477,1
ARE,0,1,7.181818,18109.99002,,,,,,,,
ARG,60.000004,1,6.3863635,9259.996966,1,6,3,3,68.9,4.232656,-0.8722738,1
ARM,0,0,,2169.999465,,,,,,,,
AUS,98,1,9.318182,19889.9926,7,7,10,7,8.55,2.1459312,-0.17078833,1
AUT,100,0,9.727273,21479.98822,,,,,,,-0.34389976,
AZE,0,0,,1490.000002,,,,,,,,
BDI,0,1,,710.0000213,5,1,0,1,280,5.6347895,-3.506558,
BEL,100,0,9.681818,21869.99751,,,,,,,-0.17912664,
BEN,0,1,,1200.000197,3,1,0,1,266.52,5.585449,-2.8302178,
BFA,0,1,4.4545455,940.0001173,3,1,0,1,280,5.6347895,-3.5404594,1
BGD,0,1,5.1363635,969.9999306,7,2,0,1,71.41,4.268438,-2.063568,1
BGR,100,0,8.909091,4709.999119,,,,,,,,
BHR,0,1,8,16089.99614,,,,,,,,
BHS,10,1,7.5,10780.00168,,,,,85,4.4426513,,1
BIH,100,0,,1,,,,,,,,
BLR,100,0,,4189.999946,,,,,,,,
BLZ,20,1,,4350.00381,,,,1,163.3,5.095589,,
BOL,30.000002,1,5.6363635,2769.999448,3,7,4,3,71,4.26268,-1.9661129,1
BRA,40,1,7.909091,6169.999279,1,7,1,3,71,4.26268,-1.1425642,1
BRB,20,1,,10580.00312,,,,1,85,4.4426513,-0.90634036,
BTN,0,1,,1,1,2,0,1,,,,
BWA,0,1,7.7272725,7010.00014,7,7,0,1,,,-2.3644605,
CAF,0,1,,1329.999706,1,1,0,1,280,5.6347895,-3.4112477,
CAN,99,1,9.727273,21729.99841,7,7,9,7,16.1,2.7788193,-0.060812157,1
CHE,100,0,10,24840.01152,,,,,,,-0.13467489,
CHL,50,1,7.818182,11340.00479,1,7,5,7,68.9,4.232656,-1.3356012,1
CHN,0,0,7.7727275,2659.998931,,,,,118,4.7706847,-2.8134108,
CIV,0,1,7,1710.000086,1,2,0,1,668,6.504288,-2.3330443,1
CMR,0,1,6.4545455,1809.999775,3,2,0,1,280,5.6347895,-2.577022,1
COG,0,1,4.681818,1670.000158,4,2,0,1,240,5.480639,-2.1037343,1
COL,20,1,7.318182,6700.001304,3,6,3,5,71,4.26268,-1.3318062,1
COM,5,1,,1609.999746,5,5,0,1,,,-3.3524072,
CPV,5,1,,2920.000306,,,,,,,-2.577022,
CRI,20,1,7.0454545,6600.000475,3,7,10,7,78.1,4.3579903,-1.3586792,1
CZE,100,0,8.863636,9939.997021,,,,,,,-1.5558971,
DEU,100,0,,20650.00829,,,,,,,-0.20089293,
DJI,0,1,,1,,,,,26,3.2580965,,
DNK,100,0,9.727273,22149.98282,,,,,,,-0.37106368,
DOM,25,1,6.181818,4289.999949,3,6,1,3,130,4.8675346,-1.5798792,1
DZA,13,1,6.5,4399.996392,2,2,0,1,78.2,4.3592696,-1.1147417,1
ECU,30.000002,1,6.5454545,4769.997215,3,7,1,3,71,4.26268,-1.4396951,1
EGY,0,1,6.7727275,2840.00048,1,3,7,7,67.8,4.2165623,-1.6766466,1
ERI,0,1,,750.0000701,,,,,,,,
ESP,100,0,9.681818,15039.99101,,,,,,,-0.38272566,
EST,100,0,,4420.00011,,,,,,,,
ETH,0,1,5.7272725,450.0000528,1,2,5,7,26,3.2580965,,1
FIN,100,0,9.727273,18509.99249,,,,,,,-0.3092462,
FJI,,1,,4029.997361,7,7,0,1,11.4,2.4336133,-1.2982835,
FRA,100,0,9.727273,21239.9899,,,,,2.88,1.0577903,-0.20089293,
GAB,0,1,7.818182,7389.999897,2,2,0,1,280,5.6347895,-1.8515095,1
GBR,100,0,9.772727,19500.00498,,,,,2.55,0.93609333,-0.3188288,
GEO,100,0,,1590.000326,,,,,,,,
GHA,0,1,6.2727275,1579.999801,1,1,0,1,668,6.504288,-2.9565115,1
GIN,0,1,6.5454545,1789.999644,1,1,0,1,483,6.1800165,-3.1465552,1
GMB,0,1,8.272727,1440.000155,7,7,0,1,1470,7.293018,-3.0365543,1
GNB,0,1,4.5454545,1,3,3,0,1,164.66,5.103883,-3.2441936,
GRC,100,0,7.818182,12060.00639,,,,,,,-0.7571525,
GTM,20,1,5.1363635,3999.99744,1,4,0,1,71,4.26268,-1.5606477,1
GUY,2,1,5.8863635,2710.000233,7,4,0,1,32.18,3.4713452,-2.253795,1
HKG,4,1,8.136364,23149.99862,,,,,14.9,2.7013612,-0.49758044,1
HND,20,1,5.318182,2180.000532,3,5,6,5,78.1,4.3579903,-2.040221,1
HRV,100,0,,4529.99901,,,,,,,,
HTI,0,1,3.7272727,1270.00028,1,1,0,1,130,4.8675346,-2.864704,1
HUN,100,0,9,6700.001304,,,,,,,-1.1809075,
IDN,0,1,7.590909,3199.999716,1,2,0,1,170,5.1357985,-2.207275,1
IND,0,1,8.272727,1519.292432,7,7,0,1,48.63,3.8842406,-2.453408,1
IRL,,0,9.727273,17489.99007,,,,,,,-0.549913,
IRN,0,0,4.7727275,5459.999625,,,,,,,-1.22078,
IRQ,0,1,1.6363636,1,,,,,,,,
ISL,100,0,9.727273,20819.99288,,,,,,,-0.3147107,
ISR,0,1,8.545455,17750.00364,,,,,,,-0.41703176,
